Cluster_Representative;Count;Variations;PerMille
cette constatation;35;cette constatation (35);1.15
constatation peut;36;constatation peut (36);1.18
peut tre;94;peut tre (38) | et de (56);3.09
tre supprim;33;tre supprim (33);1.09
cette constatation peut;29;cette constatation peut (29);0.95
peut tre supprim;32;peut tre supprim (32);1.05
constatation peut tre supprim;31;constatation peut tre supprim (31);1.02
suspicion de;16;suspicion de (16);0.53
ragr ages;35;ragr ages (35);1.15
ages localis;35;ages localis (35);1.15
ragr ages localis;35;ragr ages localis (35);1.15
application une;19;application une (19);0.63
une protection;19;une protection (19);0.63
protection de;23;protection de (23);0.76
de surface;71;de surface (37) | de ouvrage (34);2.34
surface sur;14;surface sur (14);0.46
sur env;89;sur env (8) | sur env de (8) | sup 3mm (49) | sup de (15) | car ne (9);2.93
de hauteur;12;de hauteur (12);0.39
application une protection;19;application une protection (19);0.63
protection de surface;22;protection de surface (22);0.72
de surface sur env;8;de surface sur env (8);0.26
surface sur env de;8;surface sur env de (8);0.26
sur env de hauteur;8;sur env de hauteur (8);0.26
application une protection de surface;40;application une protection de surface (18) | application une protection de surface sur env (8) | et application une protection de surface (7) | et application une protection de surface sur (7);1.32
une protection de surface sur;14;une protection de surface sur (14);0.46
protection de surface sur env;8;protection de surface sur env (8);0.26
surface sur env de hauteur;8;surface sur env de hauteur (8);0.26
une protection de surface sur env de;16;une protection de surface sur env de (8) | une protection de surface sur env de hauteur (8);0.53
application une protection de surface sur env de;8;application une protection de surface sur env de (8);0.26
localis et;7;localis et (7);0.23
et application;8;et application (8);0.26
et application une protection de;7;et application une protection de (7);0.23
sur toute;10;sur toute (10);0.33
toute la;50;toute la (10) | de la (40);1.65
rissbreite bis mm;8;rissbreite bis mm (8);0.26
tanch it;12;tanch it (12);0.39
du joint;21;du joint (14) | du ton (7);0.69
joint de;24;joint de (10) | lors de (14);0.79
de chauss;9;de chauss (9);0.3
joint de chauss;9;joint de chauss (9);0.3
fissures de;66;fissures de (66);2.17
largeur non;90;largeur non (45) | de largeur non (45);2.96
de longueur;107;de longueur (54) | de longueur non (53);3.52
sup 100cm;28;sup 100cm (18) | sup 30cm (10);0.92
fissures de largeur;54;fissures de largeur (54);1.78
longueur non sup;53;longueur non sup (53);1.74
de largeur non sup;45;de largeur non sup (45);1.48
et de longueur non;106;et de longueur non (53) | et de longueur non sup (53);3.49
longueur non sup 100cm;52;longueur non sup 100cm (18) | longueur non sup 300cm (17) | de longueur non sup 300cm (17);1.71
fissures de largeur non sup;45;fissures de largeur non sup (45);1.48
et de longueur non sup 100cm;61;et de longueur non sup 100cm (18) | et de longueur non sup 300cm (17) | 3mm et de longueur non sup 100cm (16) | et de longueur non sup 30cm (10);2.01
taches de;18;taches de (11) | pas de (7);0.59
de rouille;13;de rouille (13);0.43
taches de rouille;11;taches de rouille (11);0.36
ex cution;7;ex cution (7);0.23
dans le;28;dans le (19) | des ces (9);0.92
bis zu;10;bis zu (10);0.33
non sup 3mm;70;non sup 3mm (43) | non sup 300cm (17) | non sup 30cm (10);2.3
sup 3mm et;48;sup 3mm et (48);1.58
3mm et de;49;3mm et de (49);1.61
largeur non sup 3mm;40;largeur non sup 3mm (40);1.32
3mm et de longueur;49;3mm et de longueur (49);1.61
non sup 3mm et de;42;non sup 3mm et de (42);1.38
de largeur non sup 3mm et;40;de largeur non sup 3mm et (40);1.32
largeur non sup 3mm et de;40;largeur non sup 3mm et de (40);1.32
non sup 3mm et de longueur;42;non sup 3mm et de longueur (42);1.38
