Description_Cluster;Count;Associated_Comment_Clusters
les;524;de(78)|sup(44)|non(41)|fissures(41)|non sup(35)|0(31)|fissures de(31)|3mm(28)|et(23)|largeur(21)
murs;188;d(9)|pas(8)|de(7)|constatation(7)|par(6)|infrastructure(6)|partie(5)|du(5)|suspicion(4)|a(4)
ont;330;de(24)|constatation(16)|photos(15)|pas(15)|fissures(14)|cette constatation(13)|car(12)|ne(12)|aucune photo(11)|non(10)
t;6608;de(368)|d(144)|fissures(133)|non(129)|sup(129)|et(114)|0(113)|la(104)|non sup(100)|l(99)
nettoy;5;plus(1)|un(1)|probl(1)|me(1)|plus un(1)|un probl(1)|probl me(1)
s;6626;de(373)|d(135)|fissures(134)|non(133)|sup(130)|et(115)|0(115)|la(102)|non sup(102)|l(98)
mais;28;de(3)|de la(2)|fissure(1)|retrait(1)|fissure de(1)|de retrait(1)|reprise(1)|la(1)|photo(1)|l(1)
le;2564;de(167)|fissures(71)|non(70)|sup(62)|constatation(61)|0(57)|la(56)|de l(51)|d(50)|et(47)
rev;114;r(5)|par(5)|r par(5)|de(4)|carbonate(3)|la(2)|commentaire(1)|issu(1)|pr(1)|c(1)
tement;253;de(31)|la(18)|de la(17)|armatures(15)|le(13)|a(13)|des(12)|b(12)|ton(12)|endroits(12)
est;353;constatation(24)|de(17)|pas(9)|migr(8)|cette(8)|tre(8)|cette constatation(8)|pu tre(8)|peut(8)|le(7)
toujours;22;photo(13)|aucune photo(12)|constation(11)|aucune(10)|des(10)|disponible(10)|car(10)|pas(10)|visible(10)|photo des(10)
disparaissant;7;
les murs;0;
murs ont;0;
ont t;0;
s mais;0;
mais le;0;
le rev;0;
rev tement;2;
tement est;0;
est toujours;0;
toujours disparaissant;0;
ampleur;7;fissures(3)|de(2)|rieures(2)|fissures de(2)|treillis(2)|rag(1)|retrait(1)|sup(1)|0(1)|3(1)
20;237;constatation(30)|de(26)|ouvrage(20)|de l(16)|photo(15)|dans(14)|l(14)|aucune photo(13)|photo de(12)|cette constatation(12)
m2;16;fissures(3)|treillis(3)|ingesamt(2)|ca(2)|m2(2)|ingesamt ca(2)|40 m2(2)|de(2)|rieures(2)|0(2)
ampleur 20;0;
20 m2;1;
ouverture;490;suspicion(20)|de(15)|rag(10)|de rag(10)|fissure(6)|d(6)|infiltrations(5)|contraintes(4)|traces(4)|la(3)
