Cluster_Representative;Count;Variations;PerMille
de largeur non sup 3mm et de longueur;160;de largeur non sup 3mm et de longueur (40) | largeur non sup 3mm et de longueur non (40) | de largeur non sup 3mm et de longueur non (40) | de largeur non sup 3mm et de longueur non sup (40);5.26
de longueur;107;de longueur (54) | de longueur non (53);3.52
et de longueur non;106;et de longueur non (53) | et de longueur non sup (53);3.49
fissures de largeur non sup 3mm et de longueur non;103;fissures de largeur non sup 3mm et de longueur non (40) | fissures de largeur non sup 3mm et de longueur non sup (40) | fissures de largeur non sup 3mm et de longueur non sup 100cm (13) | fissures de largeur non sup 3mm et de longueur non sup 30cm (10);3.39
peut tre;94;peut tre (38) | et de (56);3.09
largeur non;90;largeur non (45) | de largeur non (45);2.96
sur env;89;sur env (8) | sur env de (8) | sup 3mm (49) | sup de (15) | car ne (9);2.93
fissures de largeur non sup 3mm et;80;fissures de largeur non sup 3mm et (40) | fissures de largeur non sup 3mm et de (40);2.63
largeur non sup 3mm et de longueur non sup 300cm;74;largeur non sup 3mm et de longueur non sup 300cm (14) | de largeur non sup 3mm et de longueur non sup 300cm (14) | largeur non sup 3mm et de longueur non sup 100cm (13) | de largeur non sup 3mm et de longueur non sup 100cm (13) | largeur non sup 3mm et de longueur non sup 30cm (10) | de largeur non sup 3mm et de longueur non sup 30cm (10);2.43
de surface;71;de surface (37) | de ouvrage (34);2.34
non sup 3mm;70;non sup 3mm (43) | non sup 300cm (17) | non sup 30cm (10);2.3
non sup 3mm et de longueur non sup;67;non sup 3mm et de longueur non sup (42) | non sup 3mm et de longueur non sup 100cm (15) | non sup 3mm et de longueur non sup 30cm (10);2.2
fissures de;66;fissures de (66);2.17
et de longueur non sup 100cm;61;et de longueur non sup 100cm (18) | et de longueur non sup 300cm (17) | 3mm et de longueur non sup 100cm (16) | et de longueur non sup 30cm (10);2.01
clat plusieurs endroits en raison de la forte corrosion;60;clat plusieurs endroits en raison de la forte corrosion (10) | plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion (10) | clat plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion des (10) | le ton clat plusieurs endroits en raison de la forte corrosion des (10);1.97
3mm et de longueur non sup;58;3mm et de longueur non sup (48) | 3mm et de longueur non sup 30cm (10);1.91
fissures de largeur;54;fissures de largeur (54);1.78
longueur non sup;53;longueur non sup (53);1.74
longueur non sup 100cm;52;longueur non sup 100cm (18) | longueur non sup 300cm (17) | de longueur non sup 300cm (17);1.71
ton clat plusieurs endroits en raison;50;ton clat plusieurs endroits en raison (10) | clat plusieurs endroits en raison de (10) | le ton clat plusieurs endroits en raison (10) | ton clat plusieurs endroits en raison de (10) | ton clat plusieurs endroits en raison de la (10);1.65
toute la;50;toute la (10) | de la (40);1.65
3mm et de;49;3mm et de (49);1.61
3mm et de longueur;49;3mm et de longueur (49);1.61
ouvrage dans le uplan martigny et environ;48;ouvrage dans le uplan martigny et environ (12) | de ouvrage dans le uplan martigny et environ (12) | ouvrage dans le uplan martigny et environ 2020 (12) | de ouvrage dans le uplan martigny et environ 2020 (12);1.58
ouvrage dans le uplan martigny;48;ouvrage dans le uplan martigny (12) | de ouvrage dans le uplan martigny (12) | ouvrage dans le uplan martigny et (12) | de ouvrage dans le uplan martigny et (12);1.58
