Cluster_Representative;Count;PerMille;Variations
fissures de largeur non sup 3mm et de longueur non sup 300cm;38;51.7;fissures de largeur non sup 3mm et de longueur non sup 300cm (12) | fissures de largeur non sup 3mm et de longueur non sup 100cm (13) | fissures de largeur non sup 3mm et de longueur non sup 30cm (10) | fissures de largeur non sup 3mm et de longueur non sup 200cm (3)
cette constatation peut être supprimé;26;35.37;cette constatation peut être supprimé (17) | cette constatation peut être supprimée (9)
ragréages localisés;26;35.37;ragréages localisés (26)
réparé;23;31.29;réparé (23)
migré dans caisson;21;28.57;migré dans caisson (21)
suspicion de rag;15;20.41;suspicion de rag (15)
fissures inférieures mm;13;17.69;fissures inférieures mm (13)
assainissement de ouvrage dans le uplan martigny et environ 2020;11;14.97;assainissement de ouvrage dans le uplan martigny et environ 2020 (11)
le béton éclaté plusieurs endroits en raison de la forte corrosion des armatures;10;13.61;le béton éclaté plusieurs endroits en raison de la forte corrosion des armatures (10)
non migré;9;12.24;non migré (9)
aucune photo des ces constatations disponibles car ne sont pas visibles;9;12.24;aucune photo des ces constatations disponibles car ne sont pas visibles (9)
la bordure été refaite lors de uplan 2020;9;12.24;la bordure été refaite lors de uplan 2020 (9)
fissure de retrait;8;10.88;fissure de retrait (5) | fissures de retrait (3)
venue eau depuis la partie sup de ouvrage surface fortement altérée;7;9.52;venue eau depuis la partie sup de ouvrage surface fortement altérée (7)
non constaté;6;8.16;non constaté (6)
garde corps remplacé dans le uplan de 2020;6;8.16;garde corps remplacé dans le uplan de 2020 (6)
rhabillage de surface;5;6.8;rhabillage de surface (5)
application une protection de surface sur env de hauteur;5;6.8;application une protection de surface sur env de hauteur (5)
fissures jusqu mm surface fortement altérée;5;6.8;fissures jusqu mm surface fortement altérée (5)
reprofilages de surface;5;6.8;reprofilages de surface (5)
risse mit einem für aar typisches rissbild;4;5.44;risse mit einem für aar typisches rissbild (4)
défaut exécution;4;5.44;défaut exécution (4)
non vu non migré;4;5.44;non vu non migré (4)
verdacht auf aar risse mit einem für aar typisches rissbild;4;5.44;verdacht auf aar risse mit einem für aar typisches rissbild (4)
ce relevé de constatation peut être effacé;4;5.44;ce relevé de constatation peut être effacé (4)
construction une nouvelle bordure avec système de protection de surface;4;5.44;construction une nouvelle bordure avec système de protection de surface (4)
fissures de largeur vraisemblablement sup 3mm et de longueur non sup 600cm;4;5.44;fissures de largeur vraisemblablement sup 3mm et de longueur non sup 600cm (4)
insgesamt stk;4;5.44;insgesamt stk (4)
pas visible depuis la rive;4;5.44;pas visible depuis la rive (4)
ragréages localisés et application une protection de surface sur env de hauteur;3;4.08;ragréages localisés et application une protection de surface sur env de hauteur (3)
perte adhérence du revêtement;3;4.08;perte adhérence du revêtement (3)
venue eau depuis la partie sup de ouvrage défaut au niveau de étanchéité surface fortement altérée;3;4.08;venue eau depuis la partie sup de ouvrage défaut au niveau de étanchéité surface fortement altérée (3)
efflorescences en surface avec taches de rouille et corrosion armatures;3;4.08;efflorescences en surface avec taches de rouille et corrosion armatures (3)
efflorescences en surface sans taches de rouille;3;4.08;efflorescences en surface sans taches de rouille (3)
pas de photos pour cette constatation car le mur en question ne fait pas partie du présent objet infrastructure;3;4.08;pas de photos pour cette constatation car le mur en question ne fait pas partie du présent objet infrastructure (3)
rhabillage en surface effectué;3;4.08;rhabillage en surface effectué (3)
von hi 2024 übernommen;3;4.08;von hi 2024 übernommen (3)
netzartige aar bedingte risse;3;4.08;netzartige aar bedingte risse (3)
