Commentaire_Cluster;Commentaire_Count;Commentaire_PerMille;Description_Cluster;Description_Count;Description_PerMille
cette constatation peut être supprimé;26;35.37;cette constatation pas été relevée;14;1000.0
réparé;23;31.29;non constaté;3;333.33
réparé;23;31.29;nouveau revêtement entre 2019 et 2024 non visible;3;333.33
réparé;23;31.29;défaut exécution;1;111.11
réparé;23;31.29;ruptures et morceaux qui se détachent;2;222.22
ragréages localisés;26;35.37;interventions entretien courant;25;1000.0
application une protection de surface sur env de hauteur;5;6.8;interventions entretien courant;5;1000.0
ragréages localisés et application une protection de surface sur env de hauteur;3;4.08;interventions entretien courant;3;1000.0
fissures de largeur non sup 3mm et de longueur non sup 300cm;38;51.7;fissures de retrait fissures dues la corrosion des armatures fissures dues des déformations empêchées;3;111.11
fissures de largeur non sup 3mm et de longueur non sup 300cm;38;51.7;fissure de retrait variation de température;12;444.44
fissures de largeur non sup 3mm et de longueur non sup 300cm;38;51.7;fissures verticales fissures de retrait fissures dues la corrosion des armatures fissures de début de rag;12;444.44
venue eau depuis la partie sup de ouvrage défaut au niveau de étanchéité surface fortement altérée;3;4.08;dépôts de carbonate de calcium haute teneur en chlorure en surface;3;1000.0
migré dans caisson;21;28.57;fissures 45 proximité des deux entretoises fissures de largeur non sup 3mm et de longueur non sup 200cm;2;250.0
migré dans caisson;21;28.57;remplacement renforcement équipements les éléments ne semblent pas dater de époque de la réalisation de ouvrage;2;250.0
migré dans caisson;21;28.57;rhabillages en surface;2;250.0
migré dans caisson;21;28.57;efflorescences en surface;2;250.0
venue eau depuis la partie sup de ouvrage surface fortement altérée;7;9.52;dépôts de carbonate de calcium haute teneur en chlorure en surface;4;1000.0
non migré;9;12.24;travaux en cours au droit des piles dans le cadre de uplans ep martigny;1;333.33
non migré;9;12.24;traité dans le cadre de uplans ep martigny;2;666.67
non vu non migré;4;5.44;traité dans le cadre de uplans ep martigny;2;666.67
non vu non migré;4;5.44;travaux en cours au droit des piles dans le cadre de uplans ep martigny;1;333.33
efflorescences en surface avec taches de rouille et corrosion armatures;3;4.08;venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise;3;1000.0
efflorescences en surface sans taches de rouille;3;4.08;venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise;3;1000.0
fissures de largeur vraisemblablement sup 3mm et de longueur non sup 600cm;4;5.44;fissures transversales fissures dues des déformations empêchées;4;1000.0
le béton éclaté plusieurs endroits en raison de la forte corrosion des armatures;10;13.61;surface fortement altérée eau venue depuis la partie sup de ouvrage fortement détérioré le béton et les armatures de la dalle inférieure;9;1000.0
rhabillage de surface;5;6.8;intervention assainissement;3;1000.0
perte adhérence du revêtement;3;4.08;morceaux du rhabillage qui se détachent;3;1000.0
fissures jusqu mm surface fortement altérée;5;6.8;faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel;5;1000.0
fissures inférieures mm;13;17.69;faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel;3;428.57
fissures inférieures mm;13;17.69;fissures dues des déformations empêchées dues la corrosion de armature de début de rag;4;571.43
aucune photo des ces constatations disponibles car ne sont pas visibles;9;12.24;les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici;5;555.56
aucune photo des ces constatations disponibles car ne sont pas visibles;9;12.24;les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici;4;444.44
la bordure été refaite lors de uplan 2020;9;12.24;non relevé;9;1000.0
garde corps remplacé dans le uplan de 2020;6;8.16;non relevé;6;1000.0
assainissement de ouvrage dans le uplan martigny et environ 2020;11;14.97;plus visible sous la couche de protection;2;250.0
assainissement de ouvrage dans le uplan martigny et environ 2020;11;14.97;joint changé lors de uplan 2020;6;750.0
rhabillage en surface effectué;3;4.08;anciennes tâches humides maintenant sèches après le rhabillage de surface effectué;3;1000.0
pas de photos pour cette constatation car le mur en question ne fait pas partie du présent objet infrastructure;3;4.08;le mur de soutènement mur aile nord le long de la route ne fait pas partie de la culée lausanne de la rallonge est du pont de chandoline ce mur présente une structure et un état très différent de la culée pas le même ouvrage cet ouvrage est pas inspecté ici les fissures constatées sur cet ouvrage sont considérées comme traitées ici car ne faisant pas partie de ouvrage;3;1000.0
ce relevé de constatation peut être effacé;4;5.44;cet élément été réparé en 2019 plus aucune détérioration est visible;4;1000.0
construction une nouvelle bordure avec système de protection de surface;4;5.44;intervention de conservation objet;4;1000.0
reprofilages de surface;5;6.8;intervention de conservation objet;5;1000.0
