Cluster_Representative;Count;PerMille;Variations
sans armatures apparentes;53;6.95;sans armatures apparentes (32) | sans armature apparente (21)
fissures de rag;52;6.82;fissures de rag (52)
geringfügig;50;6.56;geringfügig (50)
interventions entretien courant;49;6.43;interventions entretien courant (49)
défaut exécution;47;6.16;défaut exécution (47)
avec armatures apparentes et corrodées;28;3.67;avec armatures apparentes et corrodées (7) | avec armatures apparentes corrodées (21)
im rahmen der instandsetzung;24;3.15;im rahmen der instandsetzung (9) | im rahmen der instandsetzung 2022 (15)
wenige;23;3.02;wenige (23)
fortschreitende flächenkorrosion;21;2.75;fortschreitende flächenkorrosion (21)
inférieures 3mm;21;2.75;inférieures 3mm (21)
anzeichen auf aar aufgrund typischem rissbild;20;2.62;anzeichen auf aar aufgrund typischem rissbild (20)
non constaté;19;2.49;non constaté (19)
non constaté constatation effacer;19;2.49;non constaté constatation effacer (19)
avec rag;18;2.36;avec rag (11) | avec éclat (7)
réparé;18;2.36;réparé (18)
joint détérioré;17;2.23;joint détérioré (17)
non relevé;16;2.1;non relevé (16)
vereinzelt;16;2.1;vereinzelt (16)
cette constatation pas été relevée;16;2.1;cette constatation pas été relevée (16)
non constatée lors de la précédente inspection supprimer;15;1.97;non constatée lors de la précédente inspection supprimer (15)
dépôts de carbonate de calcium haute teneur en chlorure en surface;15;1.97;dépôts de carbonate de calcium haute teneur en chlorure en surface (15)
nouveau revêtement entre 2019 et 2024 non visible;15;1.97;nouveau revêtement entre 2019 et 2024 non visible (15)
présence de végétation;14;1.84;présence de végétation (14)
parties métalliques corrodées;13;1.71;parties métalliques corrodées (13)
fissures de retrait;13;1.71;fissures de retrait (13)
intervention de conservation objet;13;1.71;intervention de conservation objet (13)
rissbreite bis mm;12;1.57;rissbreite bis mm (12)
aufgrund bewehrungskorrosion;12;1.57;aufgrund bewehrungskorrosion (12)
fissure de retrait variation de température;12;1.57;fissure de retrait variation de température (12)
dépôts et efflorescences;12;1.57;dépôts et efflorescences (12)
fissures avec une ouverture inférieure 3mm;12;1.57;fissures avec une ouverture inférieure 3mm (12)
initiation éclats;11;1.44;initiation éclats (11)
tiges métalliques des anciennes glissières début de corrosion;11;1.44;tiges métalliques des anciennes glissières début de corrosion (11)
fissures verticales;11;1.44;fissures verticales (11)
grilles défectueuses;10;1.31;grilles défectueuses (10)
faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel;10;1.31;faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel (10)
avec corrosion de armature;9;1.18;avec corrosion de armature (9)
remise en état avec la mise en place un joint de chaussé bitumineux;9;1.18;remise en état avec la mise en place un joint de chaussé bitumineux (9)
photos ensemble;9;1.18;photos ensemble (9)
corrosion de armature avec éclatement de la surface du béton;9;1.18;corrosion de armature avec éclatement de la surface du béton (9)
ouverture inférieure 3mm;9;1.18;ouverture inférieure 3mm (9)
sichbare bewehung mit fortschreitender bewehrungskorrosion;8;1.05;sichbare bewehung mit fortschreitender bewehrungskorrosion (8)
venue eau depuis la partie sup de ouvrage;8;1.05;venue eau depuis la partie sup de ouvrage (8)
une intervention de conservation été réalisée depuis la dernière inspection;8;1.05;une intervention de conservation été réalisée depuis la dernière inspection (8)
cette constatation pas été relevée sur site la constatation est donc classée en réparé afin qu elle ne soit pas reportée lors de la prochaine inspection;8;1.05;cette constatation pas été relevée sur site la constatation est donc classée en réparé afin qu elle ne soit pas reportée lors de la prochaine inspection (8)
venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise;8;1.05;venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise (8)
substance modifiée;8;1.05;substance modifiée (8)
efflorescences en surface;8;1.05;efflorescences en surface (8)
bis mm;7;0.92;bis mm (7)
bewuchs von moos und gräser;7;0.92;bewuchs von moos und gräser (7)
fissures verticales fissures de retrait fissures dues la corrosion des armatures fissures de début de rag;7;0.92;fissures verticales fissures de retrait fissures dues la corrosion des armatures fissures de début de rag (7)
fissures dues des déformations empêchées fissures de retrait;7;0.92;fissures dues des déformations empêchées fissures de retrait (7)
non conforme aux exigences de ofrou;7;0.92;non conforme aux exigences de ofrou (7)
ragréages localisés;7;0.92;ragréages localisés (7)
avec éclatement;7;0.92;avec éclatement (7)
unproblematisch;7;0.92;unproblematisch (7)
généralisé défaut exécution;7;0.92;généralisé défaut exécution (7)
diverse anzeichen von bewehrungskorrosion in form von rostflecken;7;0.92;diverse anzeichen von bewehrungskorrosion in form von rostflecken (7)
avec dépôt de calcaire;7;0.92;avec dépôt de calcaire (7)
armature mise nu;7;0.92;armature mise nu (7)
avec des traces efflorescences;7;0.92;avec des traces efflorescences (7)
remplacement de la glissière;7;0.92;remplacement de la glissière (7)
les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici;7;0.92;les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici (7)
les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici;7;0.92;les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici (7)
fissures dues la rag;7;0.92;fissures dues la rag (7)
non constaté déjà lors de la précédente inspection;7;0.92;non constaté déjà lors de la précédente inspection (7)
