Cluster_Representative;Count;PerMille;Variations
interventions entretien courant;49;66.76;interventions entretien courant (49)
non relevé;16;21.8;non relevé (16)
cette constatation pas été relevée;14;19.07;cette constatation pas été relevée (14)
intervention de conservation objet;13;17.71;intervention de conservation objet (13)
fissure de retrait variation de température;12;16.35;fissure de retrait variation de température (12)
dépôts de carbonate de calcium haute teneur en chlorure en surface;12;16.35;dépôts de carbonate de calcium haute teneur en chlorure en surface (12)
fissures verticales fissures de retrait fissures dues la corrosion des armatures fissures de début de rag;12;16.35;fissures verticales fissures de retrait fissures dues la corrosion des armatures fissures de début de rag (7) | faïençage fissures de retrait fissures dues la corrosion des armatures fissures de début de rag (5)
surface fortement altérée eau venue depuis la partie sup de ouvrage fortement détérioré le béton et les armatures de la dalle inférieure;9;12.26;surface fortement altérée eau venue depuis la partie sup de ouvrage fortement détérioré le béton et les armatures de la dalle inférieure (3) | surface fortement altérée eau venue depuis la partie sup de ouvrage fortement détérioré le béton et les armatures du parement (6)
faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel;9;12.26;faïencage de la surface dû un phénomène vraisemblablement de rag couplé avec un phénomène de gel-dégel (9)
venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise;8;10.9;venue eau depuis la partie sup de ouvrage étanchéité du tablier localement compromise (8)
joint changé lors de uplan 2020;6;8.17;joint changé lors de uplan 2020 (6)
les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici;6;8.17;les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici (6)
traité dans le cadre de uplans ep martigny;6;8.17;traité dans le cadre de uplans ep martigny (6)
cet élément été réparé en 2019 plus aucune détérioration est visible;5;6.81;cet élément été réparé en 2019 plus aucune détérioration est visible (5)
joint de chaussée non étanche;4;5.45;joint de chaussée non étanche (4)
belagsfenster von laboruntersuchungen;4;5.45;belagsfenster von laboruntersuchungen (4)
les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici;4;5.45;les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici (4)
fissures dues des déformations empêchées dues la corrosion de armature de début de rag;4;5.45;fissures dues des déformations empêchées dues la corrosion de armature de début de rag (4)
défaut exécution;4;5.45;défaut exécution (4)
défauts éliminés;4;5.45;défauts éliminés (4)
fissures transversales fissures dues des déformations empêchées;4;5.45;fissures transversales fissures dues des déformations empêchées (4)
fissures dues des déformations empêchées fissures de retrait;4;5.45;fissures dues des déformations empêchées fissures de retrait (4)
venue eau depuis la partie sup de ouvrage;4;5.45;venue eau depuis la partie sup de ouvrage (4)
efflorescences en surface;4;5.45;efflorescences en surface (4)
fissures de retrait fissures dues la corrosion des armatures fissures dues des déformations empêchées;3;4.09;fissures de retrait fissures dues la corrosion des armatures fissures dues des déformations empêchées (3)
rhabillages en surface;3;4.09;rhabillages en surface (3)
non constaté;3;4.09;non constaté (3)
anzeichen auf aar aufgrund typischem rissbild;3;4.09;anzeichen auf aar aufgrund typischem rissbild (3)
fissures 45 proximité des deux entretoises fissures de largeur non sup 3mm et de longueur non sup 200cm;3;4.09;fissures 45 proximité des deux entretoises fissures de largeur non sup 3mm et de longueur non sup 200cm (3)
remplacement renforcement équipements les éléments ne semblent pas dater de époque de la réalisation de ouvrage;3;4.09;remplacement renforcement équipements les éléments ne semblent pas dater de époque de la réalisation de ouvrage (3)
faïençage fissures de retrait fissures dues des déformations empêchées fissures dues la corrosion des armatures fissures de début de rag;3;4.09;faïençage fissures de retrait fissures dues des déformations empêchées fissures dues la corrosion des armatures fissures de début de rag (3)
travaux en cours au droit des piles dans le cadre de uplans ep martigny;3;4.09;travaux en cours au droit des piles dans le cadre de uplans ep martigny (3)
intervention assainissement;3;4.09;intervention assainissement (3)
morceaux du rhabillage qui se détachent;3;4.09;morceaux du rhabillage qui se détachent (3)
nouveau revêtement entre 2019 et 2024 non visible;3;4.09;nouveau revêtement entre 2019 et 2024 non visible (3)
ruptures et morceaux qui se détachent;3;4.09;ruptures et morceaux qui se détachent (3)
fissures de retrait;3;4.09;fissures de retrait (3)
plus visible sous la couche de protection;3;4.09;plus visible sous la couche de protection (3)
le mur de soutènement mur aile nord le long de la route ne fait pas partie de la culée lausanne de la rallonge est du pont de chandoline ce mur présente une structure et un état très différent de la culée pas le même ouvrage cet ouvrage est pas inspecté ici les fissures constatées sur cet ouvrage sont considérées comme traitées ici car ne faisant pas partie de ouvrage;3;4.09;le mur de soutènement mur aile nord le long de la route ne fait pas partie de la culée lausanne de la rallonge est du pont de chandoline ce mur présente une structure et un état très différent de la culée pas le même ouvrage cet ouvrage est pas inspecté ici les fissures constatées sur cet ouvrage sont considérées comme traitées ici car ne faisant pas partie de ouvrage (3)
anciennes tâches humides maintenant sèches après le rhabillage de surface effectué;3;4.09;anciennes tâches humides maintenant sèches après le rhabillage de surface effectué (3)
