Description_ngram;Count;PerMille;Associated_Comments
de la;473;7.88;
0 3mm;322;5.36;
de l;299;4.98;
inf rieure;223;3.72;
b ton;208;3.47;
traces d;207;3.45;
fissures de;202;3.37;
armatures apparentes;177;2.95;
rieure 0;174;2.9;
3 mm;163;2.72;
0 3;162;2.7;
d p;159;2.65;
an der;150;2.5;
corrod es;147;2.45;
pas de;146;2.43;
du b;141;2.35;
ca 0;137;2.28;
2 mm;134;2.23;
ouverture inf;132;2.2;
0 2;131;2.18;
d infiltrations;130;2.17;
pr sence;125;2.08;
de rag;125;2.08;
de rouille;123;2.05;
avec une;123;2.05;
bis 0;122;2.03;
in der;121;2.02;
r par;120;2.0;
ex cution;116;1.93;
m rtelfugen;114;1.9;
de calcaire;114;1.9;
d t;112;1.87;
rev tement;110;1.83;
p t;108;1.8;
une ouverture;106;1.77;
d faut;106;1.77;
du mur;105;1.75;
t de;105;1.75;
bis ca;103;1.72;
teilweise mit;101;1.68;
fissures dues;101;1.68;
auf der;100;1.67;
fissures verticales;100;1.67;
bewehrungs berdeckung;99;1.65;
v g;98;1.63;
faut d;98;1.63;
lors de;97;1.62;
rissbreite bis;96;1.6;
de retrait;95;1.58;
bis zu;95;1.58;
g tation;94;1.57;
sup rieure;93;1.55;
c t;91;1.52;
ouverture max;90;1.5;
mit aussinterungen;89;1.48;
d eau;88;1.47;
anzeichen von;87;1.45;
sence de;85;1.42;
avec armatures;84;1.4;
apparentes corrod;83;1.38;
l armature;81;1.35;
l g;79;1.32;
non constat;79;1.32;
avec des;78;1.3;
l ouvrage;78;1.3;
fissures avec;78;1.3;
d ex;78;1.3;
im bereich;77;1.28;
sur la;77;1.28;
rieures 0;77;1.28;
des fissures;76;1.27;
cette constatation;74;1.23;
la surface;73;1.22;
5 mm;73;1.22;
non sup;72;1.2;
lose m;72;1.2;
la dalle;71;1.18;
in den;71;1.18;
au niveau;70;1.17;
du joint;70;1.17;
geringf gig;70;1.17;
depuis la;70;1.17;
corrosion de;69;1.15;
infolge schwinden;69;1.15;
toute la;69;1.15;
max 0;69;1.15;
de traces;69;1.15;
zwangsrisse infolge;68;1.13;
la partie;68;1.13;
la pr;67;1.12;
bereich der;67;1.12;
gr ser;66;1.1;
sur toute;66;1.1;
jusqu 0;66;1.1;
0 5;65;1.08;
mm teilweise;65;1.08;
de surface;64;1.07;
ouverture jusqu;64;1.07;
4 mm;63;1.05;
t rior;63;1.05;
traces de;62;1.03;
sans armatures;62;1.03;
et d;62;1.03;
pas t;62;1.03;
dans le;61;1.02;
0 4;61;1.02;
avec traces;61;1.02;
cul e;60;1.0;
des traces;59;0.98;
teilweise versintert;59;0.98;
inf rieures;59;0.98;
e lors;58;0.97;
bewuchs von;58;0.97;
de v;58;0.97;
ungen gender;57;0.95;
d un;57;0.95;
des d;56;0.93;
au droit;56;0.93;
initiation d;56;0.93;
et de;56;0.93;
relev e;55;0.92;
d humidit;55;0.92;
a t;55;0.92;
von bewehrungskorrosion;55;0.92;
l ngsrisse;54;0.9;
rissbreiten bis;54;0.9;
0 m;54;0.9;
auf aar;54;0.9;
armature apparente;54;0.9;
d g;53;0.88;
interventions d;53;0.88;
von ca;53;0.88;
d formations;53;0.88;
emp ch;53;0.88;
d but;52;0.87;
entretien courant;52;0.87;
e en;52;0.87;
ausbl hungen;52;0.87;
d entretien;51;0.85;
n a;51;0.85;
p ts;51;0.85;
ca 1;51;0.85;
joint de;51;0.85;
en surface;50;0.83;
st tzmauer;50;0.83;
der mauerkrone;50;0.83;
d clats;50;0.83;
der st;50;0.83;
t relev;49;0.82;
constat e;49;0.82;
t ches;49;0.82;
avec d;49;0.82;
der mauer;49;0.82;
10 cm;49;0.82;
risse in;48;0.8;
venue d;48;0.8;
a pas;48;0.8;
anzeichen auf;48;0.8;
la corrosion;48;0.8;
1 0;47;0.78;
ch es;46;0.77;
t rioration;46;0.77;
d environ;46;0.77;
l nge;45;0.75;
formations emp;45;0.75;
partie sup;45;0.75;
tanch it;45;0.75;
gender bewehrungs;45;0.75;
retrait fissures;45;0.75;
de chauss;45;0.75;
pr c;44;0.73;
chauss e;44;0.73;
m talliques;43;0.72;
dans la;43;0.72;
risse bis;43;0.72;
de d;42;0.7;
but de;42;0.7;
corrod e;42;0.7;
des armatures;42;0.7;
dues des;42;0.7;
x 10;41;0.68;
constatation n;41;0.68;
geringer bewehrungs;40;0.67;
taches de;40;0.67;
extr mit;40;0.67;
le mur;40;0.67;
korrodierte bewehrung;40;0.67;
sup 0;40;0.67;
en 2019;39;0.65;
10 x;39;0.65;
le joint;39;0.65;
ca 10;39;0.65;
le long;39;0.65;
2019 et;38;0.63;
de longueur;38;0.63;
c dente;38;0.63;
abplatzungen infolge;38;0.63;
3mm et;37;0.62;
aufgrund typischem;37;0.62;
typischem rissbild;37;0.62;
dues la;37;0.62;
clatement du;37;0.62;
dente inspection;37;0.62;
sur l;37;0.62;
la cul;37;0.62;
sence d;37;0.62;
de largeur;37;0.62;
netzrisse mit;37;0.62;
la bordure;37;0.62;
d j;37;0.62;
eau depuis;37;0.62;
sur le;36;0.6;
aar aufgrund;36;0.6;
l ex;36;0.6;
surface du;36;0.6;
mit rissbreiten;36;0.6;
de mur;35;0.58;
netzartige risse;35;0.58;
sup de;35;0.58;
en r;35;0.58;
2 0;35;0.58;
est donc;35;0.58;
longueur non;35;0.58;
t r;34;0.57;
n est;34;0.57;
e sur;34;0.57;
freiliegende korrodierte;34;0.57;
oberfl che;34;0.57;
systematische zwangsrisse;33;0.55;
avec corrosion;33;0.55;
largeur non;33;0.55;
t te;33;0.55;
mur d;33;0.55;
la hauteur;33;0.55;
et corrod;32;0.53;
g ts;32;0.53;
fissures longitudinales;32;0.53;
consid r;32;0.53;
mit einer;32;0.53;
0 5mm;32;0.53;
0 4mm;32;0.53;
comme r;32;0.53;
les fissures;32;0.53;
d une;32;0.53;
infolge frost;32;0.53;
de trame;31;0.52;
risse und;31;0.52;
mit ausbl;31;0.52;
droit des;31;0.52;
ne sont;31;0.52;
suspicion de;31;0.52;
zu 0;31;0.52;
von gr;31;0.52;
dues l;31;0.52;
guli re;31;0.52;
d aile;31;0.52;
de protection;31;0.52;
le b;31;0.52;
d efflorescences;31;0.52;
identifi e;31;0.52;
le rev;30;0.5;
avec armature;30;0.5;
ts de;30;0.5;
teilweise auch;30;0.5;
l inspection;30;0.5;
tr s;30;0.5;
5 cm;30;0.5;
sur les;30;0.5;
maillage irr;30;0.5;
g res;30;0.5;
syst me;29;0.48;
fissures horizontales;29;0.48;
irr gulier;29;0.48;
ches de;29;0.48;
den fugen;29;0.48;
an den;29;0.48;
non tanche;29;0.48;
se d;29;0.48;
ouv max;29;0.48;
ngsrisse mit;29;0.48;
en pied;29;0.48;
trame identifi;29;0.48;
fissure de;28;0.47;
des eaux;28;0.47;
fissures inf;28;0.47;
1 5;28;0.47;
