Description_Cluster;Description_Count;Description_PerMille;Type_de_constatation;Type_Count;Type_PerMille
bis mm;7;0.92;Fissures dues à la corrosion de l'armature;1;142.86
bis mm;7;0.92;Fissures à treillis;2;285.71
bis mm;7;0.92;Fissures longitudinales;1;142.86
bis mm;7;0.92;Fissures dues à des déformations empêchées;2;285.71
bis mm;7;0.92;Fissures de flexion;1;142.86
vereinzelt;16;2.1;Revêtement de finition disparaissant (usure);1;62.5
vereinzelt;16;2.1;Taches de rouille;1;62.5
vereinzelt;16;2.1;Enrobage d'armature insuffisant;1;62.5
vereinzelt;16;2.1;Lessivage de la chaux;2;125.0
vereinzelt;16;2.1;Nids de gravier;3;187.5
vereinzelt;16;2.1;Joint de mortier avec du jeu;2;125.0
vereinzelt;16;2.1;autres fissures;1;62.5
vereinzelt;16;2.1;Armature légèrement corrodée;1;62.5
vereinzelt;16;2.1;Fissures transversales;1;62.5
vereinzelt;16;2.1;Traces de rouille;1;62.5
vereinzelt;16;2.1;Parties corrodées;1;62.5
vereinzelt;16;2.1;Couverture de végétation;1;62.5
aufgrund bewehrungskorrosion;12;1.57;Eclats;10;833.33
aufgrund bewehrungskorrosion;12;1.57;Perte de gravillons;1;83.33
aufgrund bewehrungskorrosion;12;1.57;Taches de rouille;1;83.33
wenige;23;3.02;Taches de rouille;8;347.83
wenige;23;3.02;Lessivage de la chaux;3;130.43
wenige;23;3.02;Enrobage d'armature insuffisant;2;86.96
wenige;23;3.02;Armature fortement corrodée;1;43.48
wenige;23;3.02;Conduites bouchées;1;43.48
wenige;23;3.02;Eclats;2;86.96
wenige;23;3.02;Fissures dues à des déformations empêchées;1;43.48
wenige;23;3.02;Fissures dans le joint;1;43.48
wenige;23;3.02;Eclats dus au gel;2;86.96
wenige;23;3.02;Armature légèrement corrodée;1;43.48
wenige;23;3.02;Fissures à treillis;1;43.48
fissures de rag;52;6.82;autres fissures;49;942.31
fissures de rag;52;6.82;Fissures à treillis;1;19.23
fissures de rag;52;6.82;autre constatation;1;19.23
fissures de rag;52;6.82;Fissures dues à des déformations empêchées;1;19.23
avec rag;18;2.36;autres fissures;9;500.0
avec rag;18;2.36;Armature légèrement corrodée;4;222.22
avec rag;18;2.36;Taches de rouille;3;166.67
avec rag;18;2.36;Fissures dues à des déformations empêchées;1;55.56
avec rag;18;2.36;Fissures longitudinales;1;55.56
présence de végétation;14;1.84;Encrassement;11;785.71
présence de végétation;14;1.84;autre constatation;1;71.43
